# emoji	category	en keywords	bn keywords	parent	name
💐	nature	anniversary,birthday,bouquet,date,flower,love,plant,romance,flowers,gift	অ্যানিভার্সারি,গাছ,প্রেম,প্রেমে পড়ে ফুল,ফুল,ফুলের তোড়া,বার্ষিকী,রোমান্স,ফুলের তোড়া,উপহার		bouquet
🌸	nature	blossom,cherry,flower,plant,spring,springtime,cherry blossom,pink,sakura	গাছ,চেরি,চেরি ব্লজম,চেরি ব্লসম,ফুল,বিকশিত হওয়া,বসন্ত,গোলাপি		cherry blossom
💮	nature	flower,white,white flower	ফুল,সাদা ফুল		white flower
🪷	nature	beauty,buddhism,calm,flower,hinduism,lotus,peace,purity,serenity,water lily	পদ্ম,পবিত্রতা,ফুল,বৌদ্ধধর্ম,সৌন্দর্য,হিন্দুধর্ম,শাপলা		lotus
🏵️	nature	plant,rosette	গাছ,ফিতে দিয়ে তৈরি গোলাপের ব্যাজ,ফুল		rosette
🌹	nature	beauty,elegant,flower,love,plant,red,rose,valentine,romance	গাছ,গোলাপ,ফুল,ভালোবাসা,লাল		rose
🥀	nature	dying,flower,wilted,wilted flower	নেতানো,ফুল,নেতানো ফুল		wilted flower
🌺	nature	flower,hibiscus,plant,tropical	গাছ,জবা,ফুল		hibiscus
🌻	nature	flower,outdoors,plant,sun,sunflower,yellow	গাছ,ফুল,সূর্য,সূর্যমুখি,সূর্যমুখী,হলুদ		sunflower
🌼	nature	blossom,buttercup,dandelion,flower,plant,daisy	গাছ,ফুল,ডেইজি		blossom
🌷	nature	blossom,flower,growth,plant,tulip,spring	গাছ,টিউলিপ,ফুল,বসন্ত		tulip
🪻	nature	bloom,bluebonnet,flower,hyacinth,indigo,lavender,lilac,lupine,plant,purple,shrub,snapdragon,spring,violet	কচুরিপানার ফুল,ফুল,বসন্ত,বেগুনি,ব্লুবোনেট,লুপিন,ল্যাভেন্ডার,স্ন্যাপড্রাগন,হাইসিন্থ		hyacinth
🌱	nature	plant,sapling,seedling,sprout,young,grow	গাছ,চারা গাছ,নবীন,লতা,চারা,বৃদ্ধি		seedling
🪴	nature	decor,grow,house,nurturing,plant,pot,potted,potted plant	অকেজো,উদ্ভিত,গাছ,গৃহসজ্জা,চারাগাছ,টব,টবে লাগানো গাছ,পাত্র,প্রতিপালন,বাগান,বাড়ি,বোরিং,রোপণ,লাগানো		potted plant
🌲	nature	christmas,evergreen,forest,pine,tree,evergreen tree	ক্রিসমাস ট্রি,গাছ,চিরসবুজ,চিরহরিৎ,বন,পাইন		evergreen tree
🌳	nature	deciduous,forest,green,habitat,shedding,tree,deciduous tree,nature	গাছ,ছাঁটা,জঙ্গল,পর্ণমোচী,পশুপাখি,প্রকৃতি,বন,সবুজ,পর্ণমোচী গাছ		deciduous tree
🌴	nature	beach,palm,plant,tree,tropical,palm tree,vacation	গাছ,পাম,পাম গাছ,তালগাছ,নারকেল গাছ,সৈকত		palm tree
🌵	nature	cactus,desert,drought,nature,plant,prickly	ক্যাকটাস,খরা,গাছ,মরুভূমি		cactus
🌾	nature	ear,grain,grains,plant,rice,sheaf,sheaf of rice,of,harvest,paddy	গাছ,ধান,ধানের আঁটি,ধানের শীষ,শীষ,ফসল,শস্য		sheaf of rice
🌿	nature	herb,leaf,plant	ঔষধি,গাছ,গাছের পাতা,পাতা		herb
☘️	nature	irish,plant,shamrock	আইরিশ,গাছ,শামরক,শ্যামরক		shamrock
🍀	nature	4,clover,four,four-leaf,irish,leaf,lucky,plant,four leaf clover,luck,four leaf	4,ক্লোভার,গাছ,চার,চারটি পাতার ত্রিপত্রবিশেষ,পাতা,শ্যামাঘাস,ভাগ্য		four leaf clover
🍁	nature	falling,leaf,maple,maple leaf,autumn,fall,canada	গাছ,পতনশীল,পাতা,পাতাঝরা,ম্যাপেল,ম্যাপেল পাতা,শরৎ		maple leaf
🍂	nature	autumn,fall,fallen,falling,leaf,fallen leaf,fallen leaves	গাছ,পতনশীল,পাতা,পাতা ঝরা,পাতা পড়া,ঝরা পাতা,শরৎ		fallen leaf
🍃	nature	blow,flutter,fluttering,leaf,wind,leaf fluttering in wind,in,leaves,nature,fresh	গাছ,ঝাপটানি,পাতা,পাতাঝরা,বাতাসের মধ্যে পাতা ওড়া,হাওয়া,হাল্কা হাওয়া,বাতাস,সবুজ		leaf fluttering in wind
🪹	nature	branch,empty,home,nest,nesting,empty nest	খালি পাখির বাসা,পাখির বাসা,পাখির বাসা বাঁধা,বাসা,শূন্য পাখির বাসা		empty nest
🪺	nature	bird,branch,egg,eggs,nest,nesting,nest with eggs,with	ডিম সহ পাখির বাসা,পাখির ডিম সহ পাখির বাসা,পাখির বাসা,পাখির বাসা বাঁধা		nest with eggs
🍄	nature	fungus,mushroom,toadstool	গাছ,ব্যঙের ছাতা,মাশরুম,ছত্রাক		mushroom
🪾	nature	bare,barren,branches,dead,drought,leafless,tree,trunk,winter,wood,leafless tree	খরা,পাতাহীন গাছ,বন্ধ্যা,শীতকাল		leafless tree
🍇	food	dionysus,fruit,grape,grapes,wine	আঙুর,আঙ্গুর,খাদ্য ও পানীয়,খাবার,ফল		grapes
🍈	food	cantaloupe,fruit,melon	খাদ্য ও পানীয়,তরমুজ,ফল,ফুটি,খরমুজ		melon
🍉	food	fruit,watermelon,summer	খাদ্য ও পানীয়,খাবার,গাছ,তরমুজ,ফল,গ্রীষ্ম		watermelon
🍊	food	c,citrus,fruit,nectarine,orange,tangerine,vitamin	কমলা,কমলা লেবু,খাদ্য ও পানীয়,খাবার,ফল,ভিটামিন সি		tangerine
🍋	food	citrus,fruit,lemon,sour	খাদ্য ও পানীয়,খাবার,টক,ফল,লেবু		lemon
🍋‍🟩	food	acidity,citrus,cocktail,fruit,garnish,key,lime,margarita,mojito,refreshing,salsa,sour,tangy,tequila,tropical,zest	কাঁচা,ক্রান্তীয়,টক,তাজা,পাতিলেবু,প্রাণবন্ত,ফল,লেবু,সতেজ,সবুজ,সাইট্রাস		lime
🍌	food	banana,fruit,potassium,monkey	কলা,খাদ্য ও পানীয়,খাবার,ফল		banana
🍍	food	colada,fruit,pina,pineapple,tropical	আনারস,খাদ্য ও পানীয়,ফল		pineapple
🥭	food	food,fruit,mango,tropical,sweet	আম,ক্রান্তীয় অঞ্চলের,খাদ্য,খাবার,খুব গরম,ফল,মিষ্টি		mango
🍎	food	apple,diet,food,fruit,health,red,ripe,red apple,healthy	আপেল,খাদ্য ও পানীয়,খাবার,গাছ,ফল,লাল,লাল আপেল		red apple
🍏	food	apple,fruit,green,green apple	আপেল,খাদ্য ও পানীয়,খাবার,গাছ,ফল,সবুজ,সবুজ আপেল		green apple
🍐	food	fruit,pear	খাদ্য ও পানীয়,খাবার,নাশপাতি,ফল		pear
🍑	food	fruit,peach,butt	খাদ্য ও পানীয়,খাবার,পিচ,ফল,পীচ		peach
🍒	food	berries,cherries,cherry,fruit,red	খাদ্য ও পানীয়,খাবার,চেরি,ফল		cherries
🍓	food	berry,fruit,strawberry,sweet	খাদ্য ও পানীয়,খাবার,ফল,বেরি,স্ট্রবেরি,মিষ্টি		strawberry
🫐	food	berries,berry,bilberry,blue,blueberries,blueberry,food,fruit	কুল,খাদ্য,খাবার,ফল,বিলবেরি,বেরি,ব্লু,ব্লুবেরি		blueberries
🥝	food	food,fruit,kiwi,kiwi fruit,green	কিউই,খাদ্য ও পানীয়,খাবার,ফল,কিউই ফল		kiwi fruit
🍅	food	food,fruit,tomato,vegetable,red	খাদ্য ও পানীয়,খাবার,টমেটো,ফল,সব্জি,সবজি,লাল		tomato
🫒	food	food,olive	অলিভ,খাদ্য,খাবার,জলপাই,পুষ্টি		olive
🥥	food	coconut,colada,palm,piña,tropical,drink	খাদ্য ও পানীয়,খাবার,ডাব,নারকেল,পাম,পিনা কোলাডা		coconut
🥑	food	avocado,food,fruit,green,healthy,toast	অ্যাভোক্যাডো,খাদ্য ও পানীয়,খাবার,ফল,অ্যাভোকাডো,সবুজ		avocado
🍆	food	aubergine,eggplant,vegetable	খাদ্য ও পানীয়,খাবার,গাছ,বেগুন,সব্জি,সবজি		eggplant
🥔	food	food,potato,vegetable,starch	আলু,খাবার,সবজি		potato
🥕	food	carrot,food,vegetable,orange	খাদ্য ও পানীয়,খাবার,গাজর,সবজি,কমলা		carrot
🌽	food	corn,crops,ear,farm,maize,maze,ear of corn,of,vegetable	খাদ্য ও পানীয়,খাবার,ধাঁধা,ভুট্টা,ভুট্টার কান,ভুট্টার দানা,ভূট্টা,শীষ,সবজি		ear of corn
🌶️	food	hot,pepper,hot pepper,chili,spicy	খাবার,গরম,গাছ,ঝাল,ধানী লঙ্কা,মরিচ,লঙ্কা,লাল লঙ্কা,ঝাল লঙ্কা,মসলা		hot pepper
🫑	food	bell,capsicum,food,pepper,vegetable,bell pepper	ক্যাপসিকাম,খাদ্য,খাবার,পুষ্টি,বেল পেপার,মরিচ,সবজি,সবুজ বেলপেপার		bell pepper
🥒	food	cucumber,food,pickle,vegetable	আচার,খাদ্য ও পানীয়,খাবার,শসা,সবজি		cucumber
🥬	food	bok,burgers,cabbage,choy,green,kale,leafy,lettuce,salad,leafy green	পাতা কপি,বক চোই,বাঁধাকপি,বার্গার,লেটুস,সবুজ শাক,সবুজ শাক পাতা,সালাদ		leafy green
🥦	food	broccoli,cabbage,wild,vegetable,green,healthy	ওয়াইল্ড ক্যাবেজ,কপি,খাবার,ফুলকপি,ব্রকলিন,ব্রকলি,সবজি,সবুজ		broccoli
🧄	food	flavoring,garlic	খাদ্য ও পানীয়,খাবার,মশলা,রসুন,স্বাদ		garlic
🧅	food	flavoring,onion	খাদ্য ও পানীয়,খাবার,পেঁয়াজ,স্বাদ		onion
🥜	food	food,nut,peanut,peanuts,vegetable,nuts,snack	খাদ্য ও পানীয়,খাবার,চিনাবাদাম,বাদাম,সবজি		peanuts
🫘	food	beans,food,kidney,legume,small	খাদ্য,খাবার,ছোট্ট,পাকস্থলী,বিনস,মটরজাতীয় বীজ		beans
🌰	food	almond,chestnut,plant	একপ্রকারের বাদাম,কাঠবাদাম,খাদ্য ও পানীয়,খাবার,গাছ,বাদাম		chestnut
🫚	food	beer,ginger,health,herb,natural,root,spice,ginger root	আদা মূল,বিয়ার,মশলা,মূল		ginger root
🫛	food	beans,beanstalk,edamame,legume,pea,pod,soybean,vegetable,veggie,pea pod	বিনস,মটর,মটরজাতীয় বীজ,মটরশুটি,শাকসবজি,শুঁটি,মটর শুঁটি		pea pod
🍄‍🟫	food	food,fungi,fungus,mushroom,nature,pizza,portobello,shiitake,shroom,spore,sprout,toppings,truffle,vegetable,vegetarian,veggie,brown mushroom,brown	উদ্ভিদ্ভোজী,খাবার,ছত্রাক,ট্রাফল,নিরামিষভোজী,নিরামিষাশী,নিসর্গ,প্রকৃতি,বাদামি মাশরুম,ব্যাঙের ছাতা,মাশরুম,সব্জি		brown mushroom
🫜	food	beet,food,garden,radish,root,salad,turnip,vegetable,vegetarian,root vegetable	বাগান,বীট,মূল,শাকসব্জি,শালগম,মূলজ সব্জি		root vegetable
🍞	food	bread,carbs,food,grain,loaf,restaurant,toast,wheat,bakery	খাদ্য ও পানীয়,খাবার,পাউরুটি,পাঁরুটি,রুটি		bread
🥐	food	bread,breakfast,crescent,croissant,food,french,roll,pastry,bakery	ক্রিসেন্ট রোল,ক্রোসিয়ান্ট,ক্রোসেন্ট,খাদ্য ও পানীয়,খাবার,পাউরুটি,ফরাসি,ক্রোয়াসাঁ,পেস্ট্রি		croissant
🥖	food	baguette,bread,food,french,baguette bread	খাদ্য ও পানীয়,খাবার,পাউরুটি,ফরাসি,ব্যাগাট,ব্যাগ্যাট,রুটি		baguette bread
🫓	food	arepa,bread,flatbread,food,gordita,lavash,naan,pita	আরিপা,খাদ্য,খাবার,গর্ডিতা,জীবিকা,নান,পিতা,ফ্ল্যাটব্রেড,ব্রেড,রুজি-রুটি,রুটি,লাভাশ		flatbread
🥨	food	convoluted,pretzel,twisted	কুকি,খাদ্য ও পানীয়,খাবার,পেচাঁঁনো কেক,প্রিটসেল,প্রেটজেল,বিস্কুট,মোড়ানো		pretzel
🥯	food	bagel,bakery,bread,breakfast,schmear	খাবার,নাস্তা,পাউরুটি,বেকারি,বেগেল,রুটি,স্কিমার		bagel
🥞	food	breakfast,crêpe,food,hotcake,pancake,pancakes,syrup	ক্রেপ,খাদ্য ও পানীয়,খাবার,প্যানকেক,হটকেক,নাস্তা		pancakes
🧇	food	breakfast,indecisive,iron,waffle	ওয়াফেল,ওয়াফেল আয়রন,খাদ্য ও পানীয়,খাবার,দ্বিধান্বিত,নাস্তা,পেস্ট্রি,ব্রেকফাস্ট,লোহা		waffle
🧀	food	cheese,wedge,cheese wedge,dairy	খাবার,চিজ,চীজ ওয়েজ,পনির		cheese wedge
🍖	food	bone,meat,meat on bone,on,bbq	খাদ্য ও পানীয়,খাবার,মাংস,হাড়,হাড়ের উপর মাংস,হাড়		meat on bone
🍗	food	bone,chicken,drumstick,hungry,leg,poultry,turkey,poultry leg,chicken leg,fried	খাবার,চিকেন,পা,পোলট্রি,পোল্ট্রি,পোল্ট্রির পা,মুর্গি,লেগ,লেগ পিস,হাড়,মুরগির রান,মাংস,ফ্রাই		poultry leg
🥩	food	chop,cut,lambchop,meat,porkchop,red,steak,cut of meat,of,beef	খাদ্য ও পানীয়,খাবার,গোশত,চপ,পর্কচপ,মাংশের টুকরো,মাংস,ল্যাম্বচপ,স্টিক,স্টেক,গরুর মাংস		cut of meat
🥓	food	bacon,breakfast,food,meat,pork	খাদ্য ও পানীয়,খাবার,বেকন,মাংশ,নাস্তা		bacon
🍔	food	burger,eat,fast,food,hamburger,hungry,fast food,cheeseburger	খাদ্য ও পানীয়,খাবার,বার্গার,হ্যামবার্গার,ফাস্ট ফুড		hamburger
🍟	food	fast,food,french,fries,french fries,fast food,chips	আলু ভাজা,খাদ্য ও পানীয়,খাবার,ফাস্ট ফুড,ফ্রাই,ফ্রেঞ্চ,ভাজাভুজি,স্ন্যাক্স,ফ্রেঞ্চ ফ্রাই		french fries
🍕	food	cheese,food,hungry,pepperoni,pizza,slice,italian,fast food	খাদ্য ও পানীয়,খাবার,চিজ,পিজা,ফালি,স্লাইস,পিৎজা,ফাস্ট ফুড		pizza
🌭	food	dog,frankfurter,hot,hotdog,sausage,hot dog,fast food	খাদ্য ও পানীয়,খাবার,ফ্র্যাঙ্কফার্টার,সসেজ,হট ডগ		hot dog
🥪	food	bread,sandwich	খাদ্য ও পানীয়,খাবার,ব্রেড,রুটি,স্যান্ডউইচ		sandwich
🌮	food	mexican,taco,food	খাবার,ট্যাকো,মেক্সিকান,টাকো		taco
🌯	food	burrito,mexican,wrap	খাবার,বুরিটো,মেক্সিকান,রোল,র‍্যাপ,বুরিতো		burrito
🫔	food	food,mexican,pamonha,tamale,wrapped	খাদ্য,খাবার,টুমালি,তামালে,পামোনহা,মেক্সিকান,মেক্সিকান র‍্যাপ,রোল		tamale
🥙	food	falafel,flatbread,food,gyro,kebab,stuffed,stuffed flatbread	কাবাব,খাদ্য ও পানীয়,খাবার,গাইরো,চেপ্টারুটি,পুর ভরা পাউরুটি,ফলাফেল,ফালাফেল		stuffed flatbread
🧆	food	chickpea,falafel,meatball	খাদ্য ও পানীয়,খাবার,ছোলা,ফলাফেল,ফ্যালাফেল,মিটবল		falafel
🥚	food	breakfast,egg,food	খাবার,ডিম		egg
🍳	food	breakfast,cooking,easy,egg,fry,frying,over,pan,restaurant,side,sunny,up	খাদ্য ও পানীয়,খাবার,চাটু,ডিম,নাস্তা,ফ্রাই প্যান,ভাজা,রান্না করা		cooking
🥘	food	casserole,food,paella,pan,shallow,shallow pan of food,of	কড়া,কড়াই,ক্যাসরোল,খাদ্য ও পানীয়,খাবার,পেন,প্যান		shallow pan of food
🍲	food	food,pot,soup,stew,pot of food,of	খাদ্য ও পানীয়,খাদ্যের পাত্র,খাবার,পাত্র,স্ট্যু		pot of food
🫕	food	cheese,chocolate,fondue,food,melted,pot,ski	খাদ্য,খাবার,গলিত,চকোলেট,চিজ,পাত্র,ফন্ডু,সুইস		fondue
🥣	food	bowl,breakfast,cereal,congee,oatmeal,porridge,spoon,bowl with spoon,with	ওটমিল,ওটস,কর্ণফ্লেক্স,খাবার,চামচ সহ বাটি,নাস্তা,পুডিং,পোরিজ,বাটি আর চামচ,ব্রেকফাস্ট,সুপের বাটি		bowl with spoon
🥗	food	food,green,salad,green salad,healthy,greens,vegetables	খাদ্য ও পানীয়,খাবার,গ্রিন,স্যালাদ,গ্রিন স্যালাদ,সালাদ,স্বাস্থ্যকর,সবজি		green salad
🍿	food	corn,movie,pop,popcorn	খাদ্য ও পানীয়,খাবার,পপকর্ণ		popcorn
🧈	food	butter,dairy	খাদ্য ও পানীয়,খাবার,ডেয়ারি,মাখন		butter
🧂	food	condiment,flavor,mad,salt,salty,shaker,taste,upset,seasoning,spice	আচার,নোনতা,মশলা,মিক্সার,লবণ,লবনদানি,শেকার,সুস্বাদু,স্বাদ,মসলা		salt
🥫	food	can,canned,food,canned food	কৌটা,কৌটাজাত খাবার,ক্যান,ক্যানজাত খাদ্য,খাদ্য,খাবার		canned food
🍱	food	bento,box,food,bento box,lunch box,japanese	খাদ্য ও পানীয়,খাবার,বাক্স,বেন্টো,বেন্তো বাক্স,দুপুরের খাবার,টিফিন		bento box
🍘	food	cracker,food,rice,rice cracker	ক্র্যাকার,খাদ্য ও পানীয়,খাবার,চাল,চালের পাপড়,ভাত		rice cracker
🍙	food	ball,food,japanese,rice,rice ball,onigiri	খাদ্য ও পানীয়,খাবার,চাল,জাপানি,বল,ভাতের বল		rice ball
🍚	food	cooked,food,rice,cooked rice,bowl	খাদ্য ও পানীয়,খাবার,চাল,ভাত,রান্না করা,রান্না করা ভাত		cooked rice
🍛	food	curry,food,rice,curry rice,indian	খাদ্য ও পানীয়,খাবার,চাল,তরকারি,ভাত,ভাত তরকারি,ঝোল		curry rice
🍜	food	bowl,chopsticks,food,noodle,pho,ramen,soup,steaming,steaming bowl,noodles	খাবার,চপস্টিক,ধোঁঁয়া ওঠা নুডুলসের বাটি,নুডল,বাটি,ভাপানো,রামেন,স্টিম করার বাটি,নুডলস,স্যুপ		steaming bowl
🍝	food	food,meatballs,pasta,restaurant,spaghetti,italian	খাদ্য ও পানীয়,খাবার,পাস্তা,রেস্টুরেন্ট,স্প্যাগেটি		spaghetti
🍠	food	food,potato,roasted,sweet,roasted sweet potato	আলু,খাদ্য ও পানীয়,খাবার,মিষ্টি,রোস্ট করা,রোস্ট করা মিষ্টি আলু		roasted sweet potato
🍢	food	food,kebab,oden,restaurant,seafood,skewer,stick	ওডেন,কাঠি,কাবাব,খাদ্য ও পানীয়,বিদ্ধ করা,সামুদ্রিক খাবার		oden
🍣	food	food,sushi,japanese,fish,raw	খাদ্য ও পানীয়,খাবার,সুশি,জাপানি,মাছ		sushi
🍤	food	fried,prawn,shrimp,tempura,fried shrimp	খাদ্য ও পানীয়,খাবার,গলদা চিংড়ি,চিংড়ি,টেম্পুরা,বাগদা চিংড়ি,ভাজা,ভাজা চিংড়ি,চিংড়ি		fried shrimp
🍥	food	cake,fish,food,pastry,restaurant,swirl,fish cake with swirl,with	কেক,খাদ্য ও পানীয়,খাবার,ঘূর্ণিত হওয়া ফিশ কেক,ঘোরানো,প্যাস্ট্রি,মাছ		fish cake with swirl
🥮	food	autumn,cake,festival,moon,yuèbǐng,moon cake	উৎসব,কেক,মুন কেক,যুয়েবিং,শরৎ		moon cake
🍡	food	dango,dessert,japanese,skewer,stick,sweet	কাঠি,খাদ্য ও পানীয়,খাবার,জাপানি,ডাঙ্গো,ডেজার্ট,মিষ্টি,মিষ্টি জাতীয় খাবার		dango
🥟	food	dumpling,empanada,gyōza,jiaozi,pierogi,potsticker,momo	এমপ্যান্ডা,খাবার,গয়োজা,জিয়ায়োজি,ডামপ্লিং,পট স্টিকার,পটস্টিকার,পিয়েরোগি,ফুলুরি,মমো,মোমো,পুলি,ডাম্পলিং		dumpling
🥠	food	cookie,fortune,prophecy,fortune cookie	কুকি,খাদ্য ও পানীয়,খাবার,প্রোফেসি,ফরচুন কুকি,ভবিষ্যদ্বাণী		fortune cookie
🥡	food	box,chopsticks,delivery,food,oyster,pail,takeout,takeout box	ওয়েস্টার পেল,খাদ্য ও পানীয়,খাবার,খাবার নিয়ে যাওয়ার বক্স,চপস্টিক,টেকআউট,ডেলিভারি বক্স		takeout box
🍦	food	cream,dessert,food,ice,icecream,restaurant,serve,soft,sweet,soft ice cream,ice cream,soft serve,cone	আইসক্রিম,ক্রিম,খাদ্য ও পানীয়,খাবার,ডেজার্ট,নরম,বরফ,মিষ্টি,সফ্ট আইস ক্রিম		soft ice cream
🍧	food	dessert,ice,restaurant,shaved,sweet,shaved ice	আইস ক্রিম,খাদ্য ও পানীয়,খাবার,চাঁচা,ডেজার্ট,বরফ,মিষ্টি,শেভড আইস		shaved ice
🍨	food	cream,dessert,food,ice,restaurant,sweet,ice cream,sundae	আইস ক্রিম,ক্রিম,খাদ্য ও পানীয়,খাবার,ডেজার্ট,বরফ,মিষ্টি,আইসক্রিম		ice cream
🍩	food	breakfast,dessert,donut,doughnut,food,sweet	খাদ্য ও পানীয়,খাবার,ডেজার্ট,ডোনাট,মিষ্টি		doughnut
🍪	food	chip,chocolate,cookie,dessert,sweet,biscuit	কুকি,খাদ্য ও পানীয়,খাবার,ডেজার্ট,মিষ্টি,বিস্কুট		cookie
🎂	food	bday,birthday,cake,celebration,dessert,happy,pastry,sweet,birthday cake,candles,party	উৎসবের কেক,উদযাপন,কেক,খাদ্য ও পানীয়,খাবার,জন্মদিন,জন্মদিনের কেক,ডেজার্ট,প্যাস্ট্রি,মিষ্টি,শুভ জন্মদিন		birthday cake
🍰	food	cake,dessert,pastry,shortcake,slice,sweet	কেক,খাদ্য ও পানীয়,খাবার,ডেজার্ট,প্যাস্ট্রি,ফালি,মিষ্টি,শর্ট কেক		shortcake
🧁	food	bakery,cupcake,dessert,sprinkles,sugar,sweet,treat,frosting	কাপ কেক,কাপকেক,খাদ্য,চিনি,ডেজার্ট,বেকারি,মিষ্টান্ন,মিষ্টি		cupcake
🥧	food	apple,filling,fruit,meat,pastry,pie,pumpkin,slice,dessert,baked	খাদ্য ও পানীয়,খাবার,পাই,পিঠা,পেস্ট্রি,ফিলিং,মিষ্টি		pie
🍫	food	bar,candy,chocolate,dessert,halloween,sweet,tooth,chocolate bar,cocoa	খাদ্য ও পানীয়,খাবার,চকলেট,ডেজার্ট,বার,মিষ্টি,চকলেট বার		chocolate bar
🍬	food	candy,cavities,dessert,halloween,restaurant,sweet,tooth,wrapper,sugar	ক্যান্ডি,খাদ্য ও পানীয়,খাবার,চকলেট,ডেজার্ট,মিষ্টি,লজেন্স		candy
🍭	food	candy,dessert,food,lollipop,restaurant,sweet	ক্যান্ডি,খাদ্য ও পানীয়,খাবার,চকলেট,ডেজার্ট,মিষ্টি,ললিপপ		lollipop
🍮	food	custard,dessert,pudding,sweet,flan	কাস্টার্ড,খাদ্য ও পানীয়,খাবার,ডেজার্ট,পুডিং,মিষ্টি		custard
🍯	food	barrel,bear,food,honey,honeypot,jar,pot,sweet,honey pot,bee	খাদ্য ও পানীয়,খাবার,পাত্র,বিয়ার,ব্যারেল,মধু,মধুর পাত্র,মিষ্টি		honey pot
🍼	food	babies,baby,birth,born,bottle,drink,infant,milk,newborn,baby bottle	খাদ্য ও পানীয়,খাবার,দুধ,পান করা,বাচ্চা,বোতল,শিশুদের বোতল,দুধের বোতল,শিশু		baby bottle
🥛	food	drink,glass,milk,glass of milk,of,dairy	এক গ্লাস দুধ,খাদ্য ও পানীয়,খাবার,গ্লাস,থাওয়া,দুধ,দুধের গ্লাস,পানীয়		glass of milk
☕	food	beverage,cafe,caffeine,chai,coffee,drink,hot,morning,steaming,tea,hot beverage,espresso	কফি,খাদ্য ও পানীয়,খাবার,গরম,চা,পান করা,পানীয়,গরম পানীয়,ক্যাফে,সকাল		hot beverage
🫖	food	brew,drink,food,pot,tea,teapot	খাদ্য,খাবার,চা,টিপট,ড্রিংকস,পট,পানীয়		teapot
🍵	food	beverage,cup,drink,handle,oolong,tea,teacup,teacup without handle,without,green tea,matcha,hot	কাপ,খাদ্য ও পানীয়,খাবার,চা,চায়ের পেয়ালা,পান করা,পানীয়,হ্যান্ডেল ছাড়াই চায়ের কাপ,সবুজ চা,গরম		teacup without handle
🍶	food	bar,beverage,bottle,cup,drink,restaurant,sake	কাপ,খাদ্য ও পানীয়,খাবার,পান করা,পানীয়,বার,বোতল,শেক,সেইক		sake
🍾	food	bar,bottle,cork,drink,popping,bottle with popping cork,with,champagne,celebration,party,pop	খাদ্য ও পানীয়,খাবার,ছিপি,পপিং,পপিং কর্কের সাথে বোতল,পান করা,বার,বোতল,শ্যাম্পেন,উদযাপন,পার্টি		bottle with popping cork
🍷	food	alcohol,bar,beverage,booze,club,drink,drinking,drinks,glass,restaurant,wine,wine glass	ওয়াইন,গ্লাস,পান করা,পানীয়,বার,মদের গ্লাস		wine glass
🍸	food	alcohol,bar,booze,club,cocktail,drink,drinking,drinks,glass,mad,martini,men,cocktail glass	ককটেল,ককটেলের গ্লাস,খাদ্য ও পানীয়,খাবার,গ্লাস,পান করা,পানীয়,বার,মার্টিনি		cocktail glass
🍹	food	alcohol,bar,booze,club,cocktail,drink,drinking,drinks,drunk,mai,party,tai,tropical,tropics,tropical drink	ককটেল,ক্রান্তীয়,ক্লাব,খাদ্য ও পানীয়,খাবার,ট্রপিক্যাল ড্রিঙ্ক,পান করা,বার,মদ,মাতাল,স্থানীয়		tropical drink
🍺	food	alcohol,ale,bar,beer,booze,drink,drinking,drinks,mug,octoberfest,oktoberfest,pint,stein,summer,beer mug,cheers	খাদ্য ও পানীয়,খাবার,পান করা,বার,বিয়ার,বিয়ারের মগ,মগ,বিয়ার,পানীয়		beer mug
🍻	food	alcohol,bar,beer,booze,bottoms,cheers,clink,clinking,drinking,drinks,mugs,clinking beer mugs	উত্তম ধরণের বিয়ারের মগ,খাদ্য ও পানীয়,খাবার,ঠুং ঠুং আওয়াজ করা,পান করা,বার,বিয়ার,মগ		clinking beer mugs
🥂	food	celebrate,clink,clinking,drink,glass,glasses,clinking glasses,cheers,toast	উদযাপন,খাওয়া,খাদ্য ও পানীয়,খাবার,গ্লাস,চিয়ার্স,চিসার্সের জন্য গ্লাসে ঠোকা,ঠুংঠাং,হোক উল্লাস,চিয়ার্স		clinking glasses
🥃	food	glass,liquor,scotch,shot,tumbler,whiskey,whisky,tumbler glass	খাদ্য ও পানীয়,খাবার,গ্লাস,চওড়া গ্লাস,পানীয়,মদের গ্লাস,শট,স্কচ,হুইস্কি		tumbler glass
🫗	food	accident,drink,empty,glass,liquid,oops,pour,pouring,spill,water,pouring liquid	ওহ!,গ্লাস,ছলকে পড়া,জল ঢালা,তরল পদার্থ ঢালা হচ্ছে,পান করা,ফাঁকা		pouring liquid
🥤	food	cup,drink,juice,malt,soda,soft,straw,water,cup with straw,with,soft drink,cold drink	খাদ্য ও পানীয়,খাবার,গ্লাস,জুস,পানি,পানীয়,সোডা,স্ট্র দেওয়া কাপ,কোমল পানীয়,ঠান্ডা		cup with straw
🧋	food	boba,bubble,food,milk,pearl,tea,bubble tea,milk tea	খাদ্য,খাবার,চা,ড্রিংকস,তাইওয়ান,দুধ,পানীয়,পার্ল,বাবল,বাবল টি,বোবা,মিল্ক টি		bubble tea
🧃	food	beverage,box,juice,straw,sweet,beverage box,juice box,drink	খাদ্য ও পানীয়,জুস বাক্স,জুসের বক্স,ঠাণ্ডা পানীয়,পানীয়,ফলের রস,জুস,পানীয়		beverage box
🧉	food	drink,mate	খাদ্য ও পানীয়,দক্ষিণ অ্যামেরিকা,দক্ষিণ অ্যামেরিকার পানীয়,পানীয়,মেট		mate
